"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","13-Oct-2016","       1096.35","       1089.00","       1089.05","       1052.00","       1058.50","       1057.15","       1067.72","    5014667","          5354276741.25","     126457"
"RELIANCE","EQ","14-Oct-2016","       1057.15","       1063.00","       1082.00","       1061.65","       1078.95","       1077.65","       1073.32","    3489473","          3745322970.80","      93233"
"RELIANCE","EQ","17-Oct-2016","       1077.65","       1080.00","       1080.80","       1058.75","       1060.40","       1060.65","       1068.55","    2246237","          2400217761.50","      59134"
"RELIANCE","EQ","18-Oct-2016","       1060.65","       1066.00","       1082.75","       1062.05","       1079.55","       1081.10","       1076.71","    2531133","          2725292002.90","      73109"
"RELIANCE","EQ","19-Oct-2016","       1081.10","       1084.45","       1094.70","       1081.40","       1087.00","       1087.35","       1088.72","    3902656","          4248885069.50","      77327"
"RELIANCE","EQ","20-Oct-2016","       1087.35","       1093.95","       1098.00","       1084.05","       1086.10","       1087.55","       1089.93","    2314521","          2522655590.70","      50757"
"RELIANCE","EQ","21-Oct-2016","       1087.55","       1097.00","       1097.00","       1058.40","       1065.00","       1064.20","       1069.05","    9968242","         10656537354.95","     172822"
"RELIANCE","EQ","24-Oct-2016","       1064.20","       1070.00","       1074.00","       1060.65","       1063.30","       1063.30","       1067.37","    2403099","          2565001759.25","      58047"
"RELIANCE","EQ","25-Oct-2016","       1063.30","       1065.00","       1065.25","       1054.20","       1063.50","       1060.85","       1059.75","    1750711","          1855315527.65","      69996"
"RELIANCE","EQ","26-Oct-2016","       1060.85","       1056.05","       1059.45","       1052.10","       1054.50","       1054.05","       1054.67","    2502055","          2638835503.70","      66935"
"RELIANCE","EQ","27-Oct-2016","       1054.05","       1051.10","       1053.90","       1043.40","       1050.50","       1048.70","       1048.69","    2935574","          3078514158.30","      58825"
"RELIANCE","EQ","28-Oct-2016","       1048.70","       1050.00","       1058.00","       1043.80","       1056.00","       1054.95","       1052.58","    1857917","          1955599207.50","      33745"
"RELIANCE","EQ","30-Oct-2016","       1054.95","       1058.75","       1058.75","       1046.30","       1049.55","       1051.20","       1052.55","     362170","           381202360.20","       9214"
"RELIANCE","EQ","01-Nov-2016","       1051.20","       1051.30","       1055.95","       1047.40","       1052.00","       1051.00","       1051.07","    2337011","          2456355915.70","      74188"
"RELIANCE","EQ","02-Nov-2016","       1051.00","       1041.00","       1042.85","       1021.00","       1026.40","       1023.75","       1029.71","    1609225","          1657027215.45","      62676"
"RELIANCE","EQ","03-Nov-2016","       1023.75","       1023.85","       1034.75","       1020.60","       1021.90","       1023.95","       1027.98","    1671371","          1718133324.85","      63170"
"RELIANCE","EQ","04-Nov-2016","       1023.95","       1020.25","       1026.90","       1000.00","       1006.55","       1005.55","       1010.83","    2636911","          2665480457.45","      71344"
"RELIANCE","EQ","07-Nov-2016","       1005.55","       1014.00","       1016.55","        999.05","       1000.00","       1001.15","       1005.00","    2172921","          2183786373.45","      72315"
"RELIANCE","EQ","08-Nov-2016","       1001.15","       1005.70","       1005.70","        998.30","       1003.90","       1003.50","       1001.70","    3070346","          3075564144.20","      71607"
"RELIANCE","EQ","09-Nov-2016","       1003.50","        950.00","       1009.00","        930.00","       1003.00","       1004.60","        981.42","    4946573","          4854675033.95","      83043"
"RELIANCE","EQ","10-Nov-2016","       1004.60","       1018.60","       1028.95","       1007.00","       1008.05","       1010.40","       1018.04","    2231907","          2272175380.20","      67470"
"RELIANCE","EQ","11-Nov-2016","       1010.40","        997.85","       1017.50","        995.10","        998.00","       1001.75","       1003.74","    3377392","          3390025727.25","      96461"
"RELIANCE","EQ","15-Nov-2016","       1001.75","        996.50","       1000.00","        979.55","        982.85","        985.40","        988.79","    3311592","          3274482016.30","      95636"
"RELIANCE","EQ","16-Nov-2016","        985.40","        995.00","        996.80","        980.70","        982.05","        986.55","        990.58","    3783226","          3747602868.45","      79760"
"RELIANCE","EQ","17-Nov-2016","        986.55","        986.00","        998.15","        974.40","        977.05","        977.75","        987.21","    2886635","          2849709343.65","      78724"
"RELIANCE","EQ","18-Nov-2016","        977.75","        985.00","        992.70","        982.00","        986.40","        987.50","        987.80","    4151928","          4101257453.20","     123195"
"RELIANCE","EQ","21-Nov-2016","        987.50","        987.55","        993.55","        983.20","        993.00","        991.50","        988.95","    3024712","          2991285792.20","      89103"
"RELIANCE","EQ","22-Nov-2016","        991.50","        997.70","       1007.80","        993.30","       1001.30","       1001.45","       1000.64","    4033660","          4036245791.60","     100268"
"RELIANCE","EQ","23-Nov-2016","       1001.45","       1005.00","       1010.50","        999.55","       1007.00","       1009.00","       1005.35","    2996248","          3012288585.00","      68315"
"RELIANCE","EQ","24-Nov-2016","       1009.00","       1005.55","       1005.55","        982.20","        992.40","        987.35","        989.73","    4323375","          4278988685.75","      98362"
"RELIANCE","EQ","25-Nov-2016","        987.35","        990.00","        995.90","        984.35","        993.00","        993.70","        989.79","    2389829","          2365422433.90","      90829"
"RELIANCE","EQ","28-Nov-2016","        993.70","        993.00","       1000.60","        984.10","        986.50","        986.65","        991.92","    1900161","          1884801098.90","      85702"
"RELIANCE","EQ","29-Nov-2016","        986.65","        989.00","       1004.30","        988.05","        997.95","        997.70","        999.90","    2259609","          2259387576.45","      83165"
"RELIANCE","EQ","30-Nov-2016","        997.70","        999.95","        999.95","        986.65","        988.15","        990.05","        990.16","    6308004","          6245953460.85","     103344"
"RELIANCE","EQ","01-Dec-2016","        990.05","       1000.00","       1015.00","        995.00","        996.50","        997.75","       1004.55","    2886513","          2899649144.45","      64770"
"RELIANCE","EQ","02-Dec-2016","        997.75","        995.90","       1005.00","        991.80","        995.60","        994.75","        999.59","    2853045","          2851867039.95","     115352"
"RELIANCE","EQ","05-Dec-2016","        994.75","        995.00","        999.70","        986.50","        993.05","        993.85","        993.15","     911410","           905170181.75","      33770"
"RELIANCE","EQ","06-Dec-2016","        993.85","        996.00","       1006.55","        994.60","       1003.25","       1005.20","       1000.60","    1537535","          1538464382.05","      77584"
"RELIANCE","EQ","07-Dec-2016","       1005.20","       1004.00","       1007.60","        996.35","       1001.85","        999.15","       1002.80","    1127113","          1130270448.75","      47622"
"RELIANCE","EQ","08-Dec-2016","        999.15","       1005.05","       1021.80","       1004.35","       1019.55","       1020.05","       1017.09","    2000230","          2034423374.20","      63936"
"RELIANCE","EQ","09-Dec-2016","       1020.05","       1022.00","       1031.85","       1020.30","       1028.95","       1028.95","       1027.97","    1883333","          1936017722.25","      61243"
"RELIANCE","EQ","12-Dec-2016","       1028.95","       1020.50","       1041.70","       1020.50","       1024.90","       1027.20","       1034.34","    2062700","          2133530208.15","      72075"
"RELIANCE","EQ","13-Dec-2016","       1027.20","       1028.00","       1041.00","       1027.55","       1039.00","       1039.80","       1037.64","    2369453","          2458635173.75","      84958"
"RELIANCE","EQ","14-Dec-2016","       1039.80","       1039.80","       1064.45","       1038.20","       1056.35","       1059.50","       1056.76","    5517829","          5830998013.35","     117128"
"RELIANCE","EQ","15-Dec-2016","       1059.50","       1052.40","       1067.60","       1048.65","       1051.00","       1052.95","       1059.31","    4418967","          4681049111.20","      75838"
"RELIANCE","EQ","16-Dec-2016","       1052.95","       1052.00","       1062.00","       1052.00","       1055.85","       1057.15","       1057.34","    3415537","          3611399947.50","      77749"
"RELIANCE","EQ","19-Dec-2016","       1057.15","       1055.00","       1066.95","       1054.35","       1060.55","       1062.55","       1063.71","    3430950","          3649521699.85","      55483"
"RELIANCE","EQ","20-Dec-2016","       1062.55","       1054.70","       1061.00","       1053.15","       1060.00","       1057.90","       1058.65","    2671719","          2828402958.70","      47616"
"RELIANCE","EQ","21-Dec-2016","       1057.90","       1060.10","       1067.30","       1057.20","       1063.00","       1063.25","       1061.12","    4655758","          4940302652.90","      89738"
"RELIANCE","EQ","22-Dec-2016","       1063.25","       1058.00","       1062.65","       1050.95","       1052.00","       1053.35","       1058.51","    6604416","          6990846841.25","      71577"
"RELIANCE","EQ","23-Dec-2016","       1053.35","       1052.00","       1068.95","       1052.00","       1059.90","       1057.30","       1059.91","    2346414","          2486990080.35","      67543"
"RELIANCE","EQ","26-Dec-2016","       1057.30","       1054.35","       1066.00","       1044.65","       1044.95","       1047.45","       1056.49","    3502299","          3700130719.95","      45499"
"RELIANCE","EQ","27-Dec-2016","       1047.45","       1047.85","       1067.10","       1047.00","       1064.85","       1064.70","       1056.43","    3987142","          4212155359.05","      35254"
"RELIANCE","EQ","28-Dec-2016","       1064.70","       1067.90","       1069.55","       1047.10","       1051.15","       1049.70","       1057.89","    2202927","          2330463999.05","      76376"
"RELIANCE","EQ","29-Dec-2016","       1049.70","       1050.00","       1068.80","       1049.50","       1064.05","       1065.45","       1058.89","    2005206","          2123298035.30","      70952"
"RELIANCE","EQ","30-Dec-2016","       1065.45","       1064.80","       1085.00","       1063.10","       1080.70","       1082.40","       1079.52","    3591493","          3877071530.00","      71421"
"RELIANCE","EQ","02-Jan-2017","       1082.40","       1084.00","       1090.00","       1072.35","       1086.70","       1085.10","       1086.63","    1622458","          1763016191.20","      38903"
"RELIANCE","EQ","03-Jan-2017","       1085.10","       1089.85","       1097.00","       1081.10","       1089.00","       1089.40","       1091.74","    1470751","          1605682134.95","      31291"
"RELIANCE","EQ","04-Jan-2017","       1089.40","       1092.90","       1093.00","       1064.30","       1067.15","       1067.15","       1072.39","    2375547","          2547513624.10","      70540"
"RELIANCE","EQ","05-Jan-2017","       1067.15","       1071.00","       1079.90","       1068.75","       1077.00","       1077.40","       1077.12","    1996483","          2150451749.20","      84058"
"RELIANCE","EQ","06-Jan-2017","       1077.40","       1074.20","       1085.00","       1073.10","       1073.95","       1074.95","       1078.77","    1793427","          1934704004.60","      66643"
"RELIANCE","EQ","09-Jan-2017","       1074.95","       1077.00","       1086.00","       1071.00","       1078.00","       1077.70","       1079.41","    1195257","          1290170893.10","      37309"
"RELIANCE","EQ","10-Jan-2017","       1077.70","       1080.00","       1094.40","       1080.00","       1088.00","       1089.85","       1089.83","    2594400","          2827464833.90","      76596"
"RELIANCE","EQ","11-Jan-2017","       1089.85","       1095.00","       1095.70","       1084.00","       1084.80","       1086.05","       1087.58","    2623211","          2852942523.80","      58033"
"RELIANCE","EQ","12-Jan-2017","       1086.05","       1087.00","       1090.35","       1079.80","       1080.45","       1083.30","       1084.63","     999364","          1083937776.15","      29486"
"RELIANCE","EQ","13-Jan-2017","       1083.30","       1084.55","       1097.50","       1084.55","       1089.95","       1090.40","       1091.91","    1653669","          1805654452.75","      52984"
"RELIANCE","EQ","16-Jan-2017","       1090.40","       1089.95","       1093.95","       1073.95","       1076.70","       1076.25","       1078.39","    2746005","          2961250762.40","      59289"
"RELIANCE","EQ","17-Jan-2017","       1076.25","       1065.00","       1068.00","       1038.50","       1040.00","       1041.25","       1049.23","    8968290","          9409827087.05","     172984"
"RELIANCE","EQ","18-Jan-2017","       1041.25","       1042.60","       1048.00","       1028.75","       1031.95","       1032.55","       1036.48","    3627071","          3759369531.25","     155581"
"RELIANCE","EQ","19-Jan-2017","       1032.55","       1035.15","       1045.30","       1031.00","       1032.45","       1033.70","       1037.12","    3493728","          3623411807.50","     117616"
"RELIANCE","EQ","20-Jan-2017","       1033.70","       1033.95","       1037.45","       1023.90","       1025.70","       1025.80","       1029.42","    2008082","          2067168053.90","      75554"
"RELIANCE","EQ","23-Jan-2017","       1025.80","       1021.80","       1031.00","       1012.80","       1018.40","       1015.90","       1019.37","    3133533","          3194244708.70","      98745"
"RELIANCE","EQ","24-Jan-2017","       1015.90","       1017.00","       1028.80","       1017.00","       1027.90","       1027.30","       1024.12","    2153091","          2205027803.65","      67115"
"RELIANCE","EQ","25-Jan-2017","       1027.30","       1032.00","       1032.70","       1016.15","       1018.05","       1017.30","       1020.11","    5453230","          5562884613.90","     161600"
"RELIANCE","EQ","27-Jan-2017","       1017.30","       1020.25","       1028.90","       1019.00","       1028.15","       1025.10","       1024.42","    4997239","          5119264081.75","     109980"
